l techei  omtechei
l mengereker  kerreker
l ngesonges  ngelsonges
l melemed  melemelemed
l telechetech  melechetech
l melib  olbiil
l eanged  Uchelianged
l omesebusech  omusech
l bisebusech  busech 
l beluachel  omuachel 
l chelituuk  mengituuk 
l ulekrael  omekrael
l omiochel  omiich
l mecherocher  cherrocher
