ullengchutel menguchet
ullemchoel omech
ullemikel melamk
ullemetamel melemotem
ullemedamel melemedem
ulluidel meliud
ulenguotel mengiut
ulimdall oliuid
ullekiungel melekoi
ullelkael meluk
ulibkaol melibuk
ulisall meliokl
ulemetochel ometech
ulengchidel mengeched
ulleketokel meleketek
ullengesiil menges
ulleuechel melauch
urrutel rtul
urresachel merusech
urrediil merad
urrolel rael
